"accession","taxon","tooth","enamel_area","dentine_area","edj_length","bcd","aet","ret"
"AL145-35","A. afarensis","LM1",26.17,46.68,20.85,11.53,1.26,18.37
"AL333w-1a","A. afarensis","LM1",24.28,39.34,18.78,11.21,1.29,20.61
"AL128-23","A. afarensis","RM2",20.66,29.68,16.37,11.18,1.26,23.17
"AL145-35","A. afarensis","LM2",29.81,46.48,20.12,12.09,1.48,21.73
"AL241-14","A. afarensis","LM2",29.35,33.35,17.87,12.56,1.64,28.44
"AL333w-1a","A. afarensis","LM2",27.65,35.39,17.93,11.14,1.54,25.92
"AL400-1a","A. afarensis","RM3",29.14,38.8,18.85,10.63,1.55,24.82
"AL333w-32","A. afarensis","RM3",28.37,39.9,18.65,13.03,1.52,24.08
"STW421B","A. africanus","LM1",30.7,58.83,23.72,12.34,1.29,16.87
"STS9","A. africanus","RM1",34.82,40.34,19.56,11.66,1.78,28.03
"Taung1","A. africanus","LM1",28.32,42.9,21.94,11.71,1.29,19.71
"STW327","A. africanus","LM1",29.63,49.77,20.8,11.55,1.42,20.19
"STW151","A. africanus","RM1",28.87,32.41,19.2,9.8,1.5,26.41
"STW106","A. africanus","RM1",20.35,36,18.67,10.56,1.09,18.17
"STW123a","A. africanus","RM1",31.75,37.45,18.96,10.86,1.67,27.36
"STW309a","A. africanus","RM1",32.56,53.09,23.77,12.04,1.37,18.8
"STW246","A. africanus","LM1",29.62,46.15,21.22,10.77,1.4,20.55
"STS24","A. africanus","RM1",29.11,34.07,18.99,9.81,1.53,26.26
"STW3","A. africanus","LM2",40.98,46.55,21.43,12.89,1.91,28.03
"STW412B","A. africanus","LM2",25.31,42.86,20.52,11.83,1.23,18.84
"STW327","A. africanus","LM2",43.22,61.57,23.12,13.96,1.87,23.83
"MLD2","A. africanus","RM2",36.84,52.71,22.7,14.43,1.62,22.35
"STW498c","A. africanus","LM2",37.64,76.41,26.4,14.69,1.43,16.31
"STW404","A. africanus","RM2",33,44.89,19.6,11.78,1.68,25.13
"STW61","A. africanus","RM2",35.12,43.53,21.23,13.31,1.65,25.08
"STW555","A. africanus","LM2",31.33,50.19,23.53,11.18,1.33,18.8
"STW109","A. africanus","RM2",38.61,51.7,22.41,14.89,1.72,23.96
"STW537(269)","A. africanus","RM2",41.75,53.19,23.24,14.03,1.8,24.63
"STW308","A. africanus","RM2",40.9,50.42,22.11,13.28,1.85,26.05
"STW133","A. africanus","LM2",42.87,61.5,22.94,13.2,1.87,23.83
"STW213","A. africanus","LM2",33.92,44.63,21.39,11.78,1.59,23.74
"STW529(532)","A. africanus","LM3",42.55,47.54,21.48,12.75,1.98,28.73
"STW 560B","A. africanus","LM3",38.78,59.64,23.1,14.14,1.68,21.74
"STW498c","A. africanus","LM3",46.64,69.26,26.79,14.75,1.74,20.92
"STW384","A. africanus","RM3",42.95,72.46,24.98,15.41,1.72,20.2
"STW14","A. africanus","RM3",43.16,56.74,22.45,12.84,1.92,25.52
"STW404","A. africanus","RM3",39.4,51.7,21.27,11.97,1.85,25.76
"STW109","A. africanus","RM3",42.98,51.03,22.21,14.83,1.94,27.09
"STW520","A. africanus","RM3",31.33,48.53,22.25,12.65,1.41,20.22
"STW586","A. africanus","LM3",37.73,41.5,20.44,11.59,1.85,28.66
"STW280(278)","A. africanus","RM3",41.65,60.69,25.1,15.28,1.66,21.3
