,M01,M02,M03,M04,M05,M08,F07,F08,F09,F10,F11,F12,F13,M12,M14,F26,F27,F28,F29
M01,0,0,0,0,0,0,0,0.073170732,0,0.243902439,0.024390244,0.463414634,0.146341463,0,0,0.219512195,0.048780488,0.024390244,0
M02,0,0,0,0,0,0,0,0,0,0,0.170731707,0,0,0,0,0.024390244,0.170731707,0.024390244,0.024390244
M03,0,0,0,0,0,0,0.195121951,0,0,0,0,0,0.243902439,0,0,0.658536585,0.195121951,0,0.56097561
M04,0,0,0,0,0,0,0,0,0.024390244,0,0,0,0,0,0,0.268292683,0.170731707,0.048780488,0.073170732
M05,0,0,0,0,0,0,0,0.048780488,0.048780488,0,0,0,0,0,0,0,0,0.024390244,0.073170732
M08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.048780488,0,0.170731707
F07,0,0,0.195121951,0,0,0,0,0.024390244,0,0.390243902,0.317073171,0.024390244,0.12195122,0,0,0,0.024390244,0,0.073170732
F08,0.073170732,0,0,0,0.048780488,0,0.024390244,0,0.024390244,0.048780488,0,0,0,0,0,0,0,0.024390244,0
F09,0,0,0,0.024390244,0.048780488,0,0,0.024390244,0,0,0.024390244,0,0,0,0,0,0,0,0
F10,0.243902439,0,0,0,0,0,0.390243902,0.048780488,0,0,0.195121951,0.390243902,0.097560976,0.024390244,0,0.097560976,0.048780488,0,0.146341463
F11,0.024390244,0.170731707,0,0,0,0,0.317073171,0,0.024390244,0.195121951,0,0.048780488,0.024390244,0,0.268292683,0,0,0.024390244,0.097560976
F12,0.463414634,0,0,0,0,0,0.024390244,0,0,0.390243902,0.048780488,0,0.024390244,0.024390244,0,0,0.024390244,0.048780488,0.024390244
F13,0.146341463,0,0.243902439,0,0,0,0.12195122,0,0,0.097560976,0.024390244,0.024390244,0,0.024390244,0.073170732,0.024390244,0.365853659,0.097560976,0.146341463
M12,0,0,0,0,0,0,0,0,0,0.024390244,0,0.024390244,0.024390244,0,0,0.073170732,0.219512195,0.048780488,0
M14,0,0,0,0,0,0,0,0,0,0,0.268292683,0,0.073170732,0,0,0.292682927,0.292682927,0.024390244,0.43902439
F26,0.219512195,0.024390244,0.658536585,0.268292683,0,0,0,0,0,0.097560976,0,0,0.024390244,0.073170732,0.292682927,0,0.780487805,0.073170732,0.390243902
F27,0.048780488,0.170731707,0.195121951,0.170731707,0,0.048780488,0.024390244,0,0,0.048780488,0,0.024390244,0.365853659,0.219512195,0.292682927,0.780487805,0,0.146341463,0.12195122
F28,0.024390244,0.024390244,0,0.048780488,0.024390244,0,0,0.024390244,0,0,0.024390244,0.048780488,0.097560976,0.048780488,0.024390244,0.073170732,0.146341463,0,1
F29,0,0.024390244,0.56097561,0.073170732,0.073170732,0.170731707,0.073170732,0,0,0.146341463,0.097560976,0.024390244,0.146341463,0,0.43902439,0.390243902,0.12195122,1,0
